OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-D7; OM: G1-F1; EM: G8-G7; OM: B1-B2;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-D7; OM: G1-F1; EM: G8-F8; OM: F1-H2;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: D7-D6; OM: G1-G2; EM: B6-B5; OM: E2-F2;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: D7-D6; OM: G1-G2; EM: B6-A6; OM: G2-F4;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: D7-D6; OM: G1-G2; EM: B6-C6; OM: E1-D1;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: D7-D6; OM: G1-G2; EM: D6-D5; OM: F4-F5;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: D7-D6; OM: G1-G2; EM: D6-C6; OM: G2-F4;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: D7-D6; OM: G1-G2; EM: D6-E6; OM: D2-C2;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: D7-D6; OM: G1-G2; EM: C7-C6; OM: E1-D1;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: D7-D6; OM: G1-G2; EM: C7-B7; OM: G2-H4;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: D7-D6; OM: G1-G2; EM: C7-D7; OM: E2-F2;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: D7-D6; OM: G1-G2; EM: E7-E6; OM: B1-B2;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: D7-D6; OM: G1-G2; EM: E7-D7; OM: G2-H4;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: D7-D6; OM: G1-G2; EM: E7-F7; OM: F4-F5;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: D7-D6; OM: G1-G2; EM: F7-F6; OM: C2-D2;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: D7-D6; OM: G1-G2; EM: F7-E7; OM: C2-D2;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: D7-D6; OM: G1-G2; EM: F7-G7; OM: E1-D1;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: D7-D6; OM: G1-G2; EM: G7-G6; OM: E2-D2;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: D7-D6; OM: G1-G2; EM: G7-F7; OM: E2-D2;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: D7-D6; OM: G1-G2; EM: G7-H7; OM: E2-F2;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: D7-D6; OM: G1-G2; EM: B8-B7; OM: F4-E4;
